;stat;value;count;frequency
0;experience_level;1;10;1.0
1;experience_level;2;10;1.0
2;experience_level;3;7;0.7
3;experience_level;4;6;0.6
4;level_number;1;10;1.0
5;level_number;2;6;0.6
6;level_number;3;3;0.3
7;level_number;4;1;0.1
